wallet_address,total_trades,unique_tokens,active_days,total_volume_usd,avg_trade_size,avg_trade_value,last_trade_time
0x8b0cd3c82318f06f3a86e7155f6bc223638dc51f,151,9,37,9898494735.388853,65552945.26747585,65552945.26747585,2025-06-10 16:14:23.000 UTC
0x2d99883e8defdaffda8b10b719709d1b723b405b,90,6,43,5814066457.838835,64600738.420431495,64600738.420431495,2025-08-01 14:12:47.000 UTC
0xfac983fce7ef3cee8ffb2ceb967e1b2362aada00,1943,149,89,5274962950.584162,2714854.838180217,2714854.838180217,2025-08-01 10:18:47.000 UTC
0x4b209fcae86138a1bbce84bd20eb82a41d331042,60,4,30,4076195372.5884733,67936589.54314122,67936589.54314122,2025-06-24 08:16:59.000 UTC
0x888a8dfe6f066551a89062090ae734db54ef4188,672,150,35,3689127248.698617,5489772.691515799,5489772.691515799,2025-08-01 03:28:23.000 UTC
0x0811fd1808e14f0b93f0514313965a5f142c5539,789,30,74,2648525923.0334005,3356813.590663372,3356813.590663372,2025-08-01 09:47:11.000 UTC
0xfedb7220169cc948ec5e0fbbe4030fef98ebf57a,1820,9,84,1442179511.9370832,792406.3252401557,792406.3252401557,2025-08-01 13:52:11.000 UTC
0x6d3cf81dd10cb88e27d4c2bd5cd81433017a269e,1633,73,54,1324470926.720078,811066.0910716951,811066.0910716951,2025-07-01 14:10:59.000 UTC
0x05b99ead937e89c549dc54ea6c879d5e4ff2dd74,20,4,10,1315951611.4446783,65797580.572233915,65797580.572233915,2025-06-24 11:16:47.000 UTC
0xb7ab1de5b259a880c4bb5451bdbe6f80f3798538,2231,398,91,1222590517.409204,548001.1283770525,548001.1283770525,2025-08-01 11:13:59.000 UTC
0xe2ca3167b89b8cf680d63b06e8aeefc5e4ebe907,5723,1419,91,842353192.8034369,147187.3480348483,147187.3480348483,2025-08-01 11:41:59.000 UTC
0x8f70a86c1309d8b1f5befc58948e7386fd495875,21182,1368,91,719531331.8670427,33968.998766265824,33968.998766265824,2025-08-01 14:07:47.000 UTC
0xae42c1c7a92dc474440092b592527b90673789bc,1094,123,58,610903240.4016666,558412.4683744668,558412.4683744668,2025-07-02 06:56:23.000 UTC
0x26ce7c1976c5eec83ea6ac22d83cb341b08850af,4883,1506,90,599445325.5386447,122761.68862147136,122761.68862147136,2025-08-01 14:07:35.000 UTC
0x5afec0de001999766fb883860cae06f5932e6f32,806,260,73,570602870.7459401,707944.0083696527,707944.0083696527,2025-08-01 05:24:59.000 UTC
0x5d2d49c7371eac3a89ca780ffe4ff32d311d9761,854,10,85,496841540.58039516,581781.6634430856,581781.6634430856,2025-08-01 14:13:23.000 UTC
0xf0c98a45d3421575ccb1800fd522b817a9212a5d,1593,16,88,459294259.3332191,288320.31345462595,288320.31345462595,2025-08-01 13:37:35.000 UTC
0x68cc21f7c777243d1a9c71c2349bfdccd8ca7b78,3320,1072,91,439602790.18050516,132410.47897003166,132410.47897003166,2025-08-01 10:29:47.000 UTC
0x5e3d1448a0365c3b1cd08908d410bfccca449c45,45934,2056,91,422137315.25387263,9190.083930288514,9190.083930288514,2025-08-01 12:07:23.000 UTC
0xa85b93983767729fcceac60e32a0bf87cd632108,10548,2949,57,402160629.4940409,38126.718761285636,38126.718761285636,2025-08-01 13:19:23.000 UTC
0xa6ae57b1da8238cd149bc718c40578e4620b752c,1994,673,91,347285541.74931455,174165.2666746813,174165.2666746813,2025-08-01 13:23:47.000 UTC
0xa6218584e4e45edc5991c6c59475e829ccad87c3,834,12,63,334768129.46692663,401400.63485243,401400.63485243,2025-07-29 11:38:11.000 UTC
0xc9f5920f5fa422c1c8975f12c0a2cf1467c947db,97,15,9,305223448.876307,3146633.4935701755,3146633.4935701755,2025-08-01 03:02:11.000 UTC
0x7bee8d37fba61a6251a08b957d502c56e2a50fab,837,33,35,299144226.716177,357400.509816221,357400.509816221,2025-07-31 10:37:59.000 UTC
0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,2511,847,91,297687625.85903054,118553.41531622085,118553.41531622085,2025-08-01 13:51:11.000 UTC
0x16c473448e770ff647c69cbe19e28528877fba1b,3548,560,66,295713132.8623488,83346.42978081985,83346.42978081985,2025-08-01 14:03:59.000 UTC
0x7944e84d18803f926743fa56fb7a9bb9ba5f5f24,2020,697,90,275753908.33388686,136511.83580885487,136511.83580885487,2025-08-01 13:49:35.000 UTC
0x2544b6eda4ff166cfb1f645a80b51e08d414a11f,467,6,51,274353781.7277818,587481.3313228731,587481.3313228731,2025-07-12 21:25:59.000 UTC
0x7f7e2f02d7125f9ad99d1dcedb99d01e1f29d9cd,684,21,29,254714748.5701706,372389.9832897231,372389.9832897231,2025-08-01 05:07:23.000 UTC
0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,268,37,38,246452037.47335416,919597.1547513215,919597.1547513215,2025-07-30 05:49:59.000 UTC
0x910cb5a80c20d00345a2b00de6117e837cde584b,1880,205,86,239211559.12087435,127240.19102174167,127240.19102174167,2025-08-01 12:34:11.000 UTC
0xb8feffac830c45b4cd210ecdaab9d11995d338ee,1459,589,91,230800130.77212456,158190.6310980977,158190.6310980977,2025-08-01 12:51:47.000 UTC
0x7ac78c65336bc060011b9206a2a4efcfd9b0216f,1912,186,87,229078558.19614473,119810.96139965729,119810.96139965729,2025-08-01 13:54:35.000 UTC
0xa12f7f9b9c3ffeaa41d4c4e6925f9a3f2f62aac8,1831,197,87,220172285.2782088,120247.01544413369,120247.01544413369,2025-08-01 13:50:11.000 UTC
0xe3067c7c27c1038de4e8ad95a83b927d23dfbd99,2866,143,43,219454520.83172983,76571.70999013602,76571.70999013602,2025-06-24 10:43:23.000 UTC
0xde11da1a95a6071d4470e672fdef10fb1e4b0660,1760,191,88,218163159.89105076,123956.34084718792,123956.34084718792,2025-08-01 13:56:47.000 UTC
0x008300082c3000009e63680088f8c7f4d3ff2e87,11111,1226,24,205811221.98603478,18523.195210695238,18523.195210695238,2025-05-28 11:44:35.000 UTC
0xae317afa99c5d85afc79ca5c54556d146b8be7bb,39,4,27,203961379.69306645,5229778.966488883,5229778.966488883,2025-07-30 15:48:47.000 UTC
0x85dde62b0d82d8ac6b3117b0242d29d9663fa537,1819,217,83,199361645.31161028,109599.58510808702,109599.58510808702,2025-08-01 13:37:47.000 UTC
0xb66f376f3699c8e87c115de85575be49ae29a20c,302,7,47,197622316.45203766,654378.531298138,654378.531298138,2025-08-01 13:25:35.000 UTC
0x42cb97c2695cf6227c3a1323a1942089abc9716b,5940,226,89,196512614.75754243,33082.93177736404,33082.93177736404,2025-08-01 13:55:11.000 UTC
0xf0061709817aa4672a85f3a14e0b7c9e92e9542e,155,2,44,177615113.106759,1145903.9555274774,1145903.9555274774,2025-08-01 01:59:35.000 UTC
0x277a3f2acad0b84626a63caa767d398aa96a2907,2824,27,91,175427916.23068413,62120.366937211096,62120.366937211096,2025-08-01 14:11:11.000 UTC
0x2ee36e41387f87b7e6f678a86d1e575b23b996f5,30907,2356,77,172664400.52277222,5586.579109029418,5586.579109029418,2025-08-01 14:11:35.000 UTC
