wallet_address,tokens_traded,early_adoptions,ultra_early_discoveries,first_hour_discoveries,avg_discovery_score,avg_trader_rank,top10_discoveries,first_discoveries,connected_wallets,lead_ratio,avg_synchronicity_score,sync_trades_5min,avg_minutes_after_launch,total_connections,discovery_ability_score,influence_score,independence_score,reaction_speed_score,network_influence_score,independent_decision_ratio,network_role,source_file
0xf20d2e37514195ebedb0bc735ba6090ce103d38c,319,15048,1463,7524,49.66767371601208,2.4380664652567976,308,225,209,0.8317109394579909,20.19138755980861,5627.0,32344.728096676736,69179,40,30.0,17,1,28.5,0.798086124401914,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x2ee36e41387f87b7e6f678a86d1e575b23b996f5,354,17138,5643,7733,50.056497175141246,3.494350282485876,333,145,209,0.8920551222747537,20.0,16284.0,33979.87005649717,73986,40,30.0,14,1,27.9,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x008300082c3000009e63680088f8c7f4d3ff2e87,58,3120,208,1248,61.72413793103448,5.775862068965517,50,18,208,0.9084460744082984,20.0,580.0,7286.568965517241,12064,40,30.0,13,1,27.700000000000003,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5e3d1448a0365c3b1cd08908d410bfccca449c45,336,10032,2926,5016,43.98809523809524,4.324404761904762,307,102,209,0.8493055732416336,20.0,17136.0,36504.61011904762,70224,40,30.0,13,1,27.700000000000003,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xae42c1c7a92dc474440092b592527b90673789bc,28,2050,410,820,55.0,9.464285714285714,20,8,205,0.8644085548974928,20.0,84.0,19814.285714285717,5740,40,30.0,13,1,27.700000000000003,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1d93a938203384d61da544310217e59e60a03eca,175,12749,1881,7942,55.90909090909091,6.693181818181818,141,75,209,0.7296542708212899,20.0,4576.0,27875.204545454544,36784,40,28.681017577899183,14,1,27.50430527336976,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x5ae028a6478ca2d3b881c51440674ff9af21341f,231,5643,209,627,43.11688311688312,5.632034632034632,198,43,209,0.834021207266617,20.0,6699.0,36592.34632034632,48279,40,30.0,12,1,27.5,0.8,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x8f70a86c1309d8b1f5befc58948e7386fd495875,170,6061,0,1045,43.76470588235294,7.023529411764706,133,33,209,0.8311764151688463,20.0,3910.0,38799.58823529412,35530,40,30.0,12,1,27.5,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x03c558aee40a9fced1cabe9b465bae8096e05230,172,6510,2100,2940,42.906976744186046,7.494186046511628,127,47,210,0.7620203440990972,20.19047619047619,5848.0,43304.01162790698,36120,40,29.287881451858077,13,1,27.486364435557427,0.7980952380952381,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xbb4452482320bea8787458b31f71906c6862d2ca,85,3502,1030,2060,45.1764705882353,8.952941176470588,62,25,206,0.7601432477072674,20.194174757281555,1785.0,40346.15294117647,17510,40,29.252685894511263,13,1,27.475805768353386,0.7980582524271844,Alpha Leader,SmartMoney_NetworkAnalysis_90d_e1.csv
